Model,Precision,Recall,F1-Score,Mean IoU
yolov5s,0.7,0.5833333333333334,0.6363636363636365,0.4634777703755259
yolov5m,0.84,0.7,0.7636363636363636,0.4750765074676375
yolov5l,0.7777777777777778,0.5384615384615384,0.6363636363636364,0.4174053931381022
yolov8s,0.7391304347826086,0.5666666666666667,0.6415094339622641,0.44347930563871024
yolov8m,0.8571428571428571,0.5454545454545454,0.6666666666666665,0.43813508262587286
yolov8l,1.0,0.6774193548387096,0.8076923076923077,0.42153099459431687
